outlet,bias,headline,summary,ground_news_interest_url
Alternet,Left,Trump mocked as a 'baby' for 'extorting' Nobel Peace Prize winner,"During President Donald Trump's recent meeting with Venezuelan opposition leader María Corina Machado – who won the 2025 Nobel Peace Prize – Machado confirmed that she gave Trump the Nobel medal he has openly coveted for more than a year. Despite Machado's gesture, it is effectively meaningless as the Nobel Institute has stated that the award cannot be awarded posthumously. 1 month ago · Washington, United States",https://ground.news/interest/alternet
National Memo,Left,Why Donald Trump Is Finally Waving A White Flag In Minnesota,"After weeks of vicious rhetoric aimed at Minnesota Gov. Tim Walz, after cheering on some of the most aggressive interior immigration enforcement the country has seen in decades, Donald Trump suddenly wants everyone to know he had a “very good call” with the Democratic governor on Monday and that they are on a “similar wavelength.” He even emphasized how “respectful” Walz was, a word Trump rarely uses for Democrats unless there’s a reason.And the…",https://ground.news/interest/national-memo
Slate,Left,Fed Chair Nominee: A Vaguely Sane Kevin,Trump's nomination of a Fed chair amid Powell's lawsuit and other chaos.,https://ground.news/interest/slate
National Memo,Left,Wall Street Offers Lukewarm Greeting To Melania And Her Movie Grift,"First Lady Melania Trump had to endure an embarrassing appearance at the New York Stock Exchange (NYSE) ahead of the opening weekend of her new film. When the first lady appeared in front of an assembled crowd of traders to ring the opening bell, she stood silently as she was greeted by tepid applause. NYSE Group President Lynn Martin can be seen visibly unimpressed by the crowd's response.",https://ground.news/interest/national-memo
Raw Story,Left,'Non-negotiable' Trump Fed chair pick draws instant pushback from GOP senator,President Donald Trump confirmed Kevin Warsh as his pick early Friday morning to replace Federal Reserve Chair Jerome Powell – who his administration has targeted with a criminal probe – but was immediately hit with fierce pushback from one GOP senator who vowed to block Warsh’s confirmation.,https://ground.news/interest/raw-story
The New Republic,Left,Man Who Sprayed Ilhan Omar at Town Hall Was Huge Fan of Trump,"Anthony Kazmierczak, who was arrested for spraying Ilhan Omar at a town hall, had a strong admiration for the president.",https://ground.news/interest/the-new-republic
brennancenter.org,Left,Testimony on reforming Section 702 of the Foreign Intelligence Surveillance Act before House and Senate Committees on the Judiciary,"Elizabeth Goitein testified before the House and the Senate Committees on the Judiciary, warning that the law is failing to protect Americans from warrantless surveillance.",https://ground.news/interest/brennancenterorg
The Daily Beast,Left,Trump Struggles to Recall Name of Nobel Peace Prize Winner,The president appeared to have trouble recalling the name of the woman who gave him the prestigious award. 1 month ago · United States,https://ground.news/interest/the-daily-beast
Raw Story,Left,Trump's Border Patrol enforcer to leave Minneapolis amid fierce backlash: report,"President Donald Trump's infamous Border Patrol enforcer is set to withdraw from Minneapolis, according to a new report. According to CNN's Priscilla Alvarez, ""Gregory Bovino and some of his agents are expected to leave Minneapolis and return to their respective sectors."" This follows weeks of rising tensions.",https://ground.news/interest/raw-story
HuffPost,Left,Rep. Ilhan Omar Drops the Mic On Her Attacker,Rep. Ilhan Omar (D-Minn.) was ready to throw hands after being attacked at a recent press conference.,https://ground.news/interest/huffpost
Common Dreams,Left,"'Disgusting Act of Corruption': Trump Sues IRS, Treasury for $10 Billion Over Tax Return Leak","""Trump is using taxpayer privacy laws to hide his shady business dealings, while his Treasury Department is violating those same laws to send sensitive tax information to his anti-immigrant allies at ICE.""",https://ground.news/interest/common-dreams
New York Magazine,Left,Greg Bovino's 'Strongman' Act Backfires,"Greg Bovino, who sought to gain attention by portraying himself as a tough, capable law enforcement officer, has been demoted and Tom Homan is taking over for ICE in Minneapolis. The Border Patrol officer's actions have led to a significant change in his role.",https://ground.news/interest/new-york-magazine
The New Republic,Left,"Republicans Blame Ilhan Omar for Town Hall Attack, Ignore Their Own Role","Republicans are shifting blame for the attack on Rep. Ilhan Omar's town hall, while ignoring their own role in creating an environment that led to the incident.",https://ground.news/interest/the-new-republic
Salon,Left,Government shutdown nears as Senate Republicans block budget bill,"With Democrats opposing the funding of DHS, the government is approaching another shutdown.",https://ground.news/interest/salon
Common Dreams,Left,'I Don’t Let Bullies Win': Ilhan Omar Assaulted at Town Hall Amid Repeated Trump Attacks,"""Here's the reality that people like this ugly man don't understand,"" said the Democratic lawmaker following the attack. ""We are Minnesota strong and we will stay resilient in the face of whatever they might throw at us.""",https://ground.news/interest/common-dreams
Alternet,Left,"Trump praises AG Bondi's performance at Epstein hearing, claims exoneration from Russia probe","In a post on Truth Social, President Trump praised Attorney General Pam Bondi's performance at Wednesday's congressional hearing on the Epstein files, claiming that it exonerated him from any Russia-related charges.",https://ground.news/interest/alternet
oklahomavoice.com,Left,"Republicans Celebrate School Choice in U.S. Senate Hearing, While Dems Question Fairness • Oklahoma Voice","Louisiana Republican U.S. Sen. Bill Cassidy talks with reporters in the Dirksen Senate office building on Wednesday, Dec. 3, 2025. (Photo by Jennifer Shutt/States Newsroom)WASHINGTON — The fierce debate surrounding school choice initiatives took center stage Wednesday during a hearing in a U.S. Senate panel. President Donald Trump’s administration and congressional Republicans have made school choice a central point of their education agenda, while Democrats question the fairness of the policies.",https://ground.news/interest/oklahomavoicecom
Akşam,Left,"Historic Snowstorm Leaves Millions in the Dark: 770,000 Americans Without Power.","A massive snowstorm has left millions of Americans without power, with nearly 770,000 people in the US struggling to stay warm and lit due to the extreme weather conditions.",https://ground.news/interest/akam
Raw Story,Left,Trump Warns Democrats: Fire Noem or Impeachment,"House Democrats issued a warning to President Trump to fire Homeland Security Secretary Kristi Noem, or risk facing impeachment. House Minority Leader Hakeem Jeffries and his top deputies urged Trump to take action against the 79-year-old secretary for the ""killing spree"" she has overseen.",https://ground.news/interest/raw-story
Meduza,Left,"Seven European Countries (Including France, Germany and the United Kingdom) Sent Military Personnel to Greenland.",Seven European countries sent their troops to Greenland as part of an intelligence mission to enhance security in the region.,https://ground.news/interest/meduza
Boing Boing,Left,MAGA Man Anthony Kazmierczak Charged with Assault and Intimidation for Squeezing Vinegar on Ilhan Omar,"Anthony Kazmierczak, a MAGA supporter, has been charged with assault and intimidation after squirting vinegar on Democratic U.S. Rep. Ilhan Omar at an event in Minneapolis on Tuesday night. Kazmierczak has also been accused of making threats against Omar, including telling a close associate several years ago that ""somebody should kill"" her.",https://ground.news/interest/boing-boing
NationofChange,Left,Trump demands $10 billion from IRS over tax leak as conflict concerns deepen,"The lawsuit targets federal agencies Trump oversees and revives scrutiny of his finances, IRS security failures, and enforcement rollbacks.",https://ground.news/interest/nationofchange
ecoticias.com,Left,Acetaminophen During Pregnancy Does Not Cause Autism or Adhd,"A comprehensive review published in The Lancet dispels doubts about the safety of paracetamol during pregnancy, concluding that it does not increase the risk of autism, ADHD, or intellectual disability. The study, a meta-analysis of 43 studies, provides solid evidence that the drug is safe for use during pregnancy.",https://ground.news/interest/ecoticiascom
شفق نيوز,Left,Switzerland: Explosion at Ski Resort Kills Several People,"""There are several wounded and many dead,"" said the spokesman for the Cantonal Police of South West Switzerland, Gaitan Laton, ""an unknown explosion,"" adding that ""there are several wounded and several dead."" 2 months ago · Iraq",https://ground.news/interest/_465d27
Salon,Left,"""Everyone has known"": Trump told police that Epstein's conduct was open secret","Donald Trump once admitted to police that Jeffrey Epstein's criminality was well-known among his social circle. In a recently revealed document from the Department of Justice's case files on the late sex trafficker, former Palm Beach Police Chief Michael Reiter told the FBI about a call that he had with Trump in 2006. Reiter recalled their conversation from around the time of Epstein's first arrest in a 2019 interview with the FBI. He told the FBI that Trump told him Epstein's conduct was ""open secret.""",https://ground.news/interest/salon
Raw Story,Left,Two Border Patrol officers placed on leave after shooting 37-year-old Alex Pretti: Fox News,"The two Border Patrol officers thought to have shot 37-year-old Alex Pretti have reportedly been placed on administrative leave. Almost five days after Pretti's killing in Minneapolis, Fox News correspondent Bill Melugin reported on Wednesday that the officers who shot the former VA nurse had been placed on administrative leave.",https://ground.news/interest/raw-story
heimildin.is,Left,Minneapolis Witness: 'I Watched Him Die',"""I watched him die,"" Stella Carlson says tearfully in an interview with CNN's Anderson Cooper. She witnessed the shooting of Alex Pretti by ICE agents in Minneapolis last Saturday. Carlson says Pretti was not a threat to ICE agents' safety. ""It was a murder in front of everyone, out in the middle of the street,"" she says. Pretti was 37 years old.",https://ground.news/interest/heimildinis
RollingStone,Left,Trump Threatens to Invoke Insurrection Act in Minnesota Amid Midterm Elections,President Donald Trump has threatened to invoke the Insurrection Act in Minnesota amid the upcoming midterm elections.,https://ground.news/interest/rollingstone_6de571
scdailygazette.com,Left,"Republicans Celebrate School Choice in U.S. Senate Hearing, While Dems Question Fairness","During a U.S. Senate hearing, Republicans and Democrats clashed over school choice initiatives, with President Trump's administration and congressional Republicans pushing for the expansion of these programs.",https://ground.news/interest/scdailygazettecom
Jezebel,Left,"Bari Weiss Wants CBS News to Look 'Honestly at Ourselves.' You First, Girl.",Open the article to view the coverage from Jezebel,https://ground.news/interest/jezebel
News One,Left,Trump Admin Blocked From Targeting Documented Immigrants,"Source: Karen Vardanian / Getty At this point, the Trump administration must be shooting for some kind of record for the number of times a federal judge has had to tell an administration that it can’t bypass the Constitution or violate people’s civil rights. Seriously, President Donald Trump and his cabinet of lying, moronic stooges have been told by so many federal courts that what they’re doing is unlawful that one can only imagine they keep on ignoring them.",https://ground.news/interest/news-one
Aftonbladet,Left,"""FBI Agent"" Saves Luigi Mangione from Prison with a Barbecue Fork","Luigi Mangione was set to be released from prison, thanks to a fictional FBI agent with a court order and a large barbecue fork.",https://ground.news/interest/aftonbladet
HuffPost,Left,Trump Nominates Kevin Warsh to Lead the Federal Reserve,"Trump praised Kevin Warsh as one of the ""best"" Fed Chairmen, expressing confidence in his nomination.",https://ground.news/interest/huffpost
RollingStone,Left,European Union Investigates Elon Musk's X for Illegal Content,"The European Union has launched an investigation into Elon Musk's social network X, following user complaints that the app's chatbot, Grok, has been altering images without consent. This includes sexualizing public figures and anyone, regardless of their identity. The EU is looking into whether the app violates any laws or regulations.",https://ground.news/interest/rollingstone_6de571
Comic Sands,Left,Trump Slammed After Suggesting Democratic Rep. Ilhan Omar Staged Syringe Attack,"President Donald Trump faced criticism after suggesting that Minnesota Democratic Representative Ilhan Omar ""probably had herself sprayed"" during a town hall meeting in Minneapolis on Tuesday after a man was tackled and arrested after spraying the lawmaker with apple cider vinegar during a town hall. Anthony Kazmierczak, the man arrested in connection with the attack, has been charged in federal court with forcibly assaulting, opposing, impeding, and resisting a law enforcement officer.",https://ground.news/interest/comic-sands
Alternet,Left,Trump Fed chair pick’s in-law credited with sparking Greenland obsession,"Donald Trump's much-anticipated pick for the next Federal Reserve Chair, Kevin Warsh, has a close family connection credited with sparking the president's long-running obsession with Greenland, according to a Friday report from Fortune. Warsh is a financier who previously served on the Fed Board of Governors from 2006 to 2011, with Fortune noting that he may be perceived as a more grounded and disciplined choice to lead the central bank than many others.",https://ground.news/interest/alternet
Common Dreams,Left,'Easy Way or the Hard Way': Democratic Leaders Escalate Noem Impeachment Push,Democrats in Congress call for the resignation or impeachment of Homeland Security Secretary Kristi Noem after false accusations of violence.,https://ground.news/interest/common-dreams
Meduza,Left,"New Documents Reveal Links Between Jeffrey Epstein and Bill Gates, Elon Musk, and Ilon Musk.","The U.S. Department of Justice has released a new series of documents (1, 2, 3) in the ongoing investigation into Jeffrey Epstein's alleged human trafficking and sexual exploitation, according to CNN on 30 January.",https://ground.news/interest/meduza
The Daily Boulder,Left,"Dozens of ICE Agents Arrested Amid Surge in Sexual Abuse, Domestic Violence and Corruption: Report","A bombshell investigation has exposed a pattern of wrongdoing by U.S. Immigration and Customs Enforcement agents and contractors, revealing that at least two dozen employees have been charged with serious crimes as the agency expands rapidly under the current administration. An Associated Press review found ICE personnel and hired contractors accused or convicted of everything from physical and sexual abuse to bribery, domestic violence and corruption.",https://ground.news/interest/the-daily-boulder
Raw Story,Left,Seven Republicans Join Democrats to Stall Government Funding Bill,"Seven Republican senators voted against a massive spending bill on Thursday, preventing the government from reaching a partial shutdown. The funding package stalled after six Republican senators – Ted Budd (R-NC), Mike Lee (R-UT), Ashley Moody (R-FL), Rand Paul (R-KY), Rick Scott (R-FL) and Tommy Tuberville (R-AL) – voted against the bill.",https://ground.news/interest/raw-story
CartaCapital,Left,Historic Wintertime Leaves at Least 10 Dead in the United States,Extreme conditions continue this afternoon,https://ground.news/interest/cartacapitalcombr
World Socialist Web Site,Left,Trump's Attorney General Refuses to Answer Questions on Epstein Cover-Up and Domestic Terrorist Lists,Attorney General Barr's refusal to answer questions about the ongoing cover-up of a decades-long criminal conspiracy involving Jeffrey Epstein and powerful political and financial figures has exposed the administration's secret lists of domestic terrorists.,https://ground.news/interest/world-socialist-web-site
Daily Kos,Left,Venezuelan opposition leader gives big baby Trump her Nobel Peace Prize,"Venezuelan opposition leader María Corina Machado told the press on Thursday that she ""presented"" President Donald Trump with the Nobel Peace Prize she was awarded in 2025. It was the latest example of the Trump administration's efforts to undermine international organizations and undermine global diplomacy.",https://ground.news/interest/daily-kos
The Intercept,Left,Minnesota's New Homeland Security Chief: A Hardline on Deportations,"Tom Homan, the new Homeland Security chief, has a track record of deporting more people than his predecessor, Greg Bovino.",https://ground.news/interest/the-intercept
Raw Story,Left,"Minnesota Man Arrested for Entering Federal Prison as Fake FBI Agent, Posing with Pizza Cutter","Mark Anderson, a 27-year-old man from Mankato, Minnesota, was arrested for impersonating an FBI agent and using a pizza cutter to break Luigi Mangione out of jail. Anderson faces federal charges for his actions, which were reportedly motivated by the alleged murder of Mangione, who is accused of killing a man with a gun.",https://ground.news/interest/raw-story
Daily Kos,Left,WASSUP with Trump's WEIRD Post Blaming Russia for 'Standing in the Way of Peace' with Ukraine?,"Three years ago, at Vladimir Putin's direction, Russia sent troops into Ukraine on a mission to occupy and annex the nation, and to overthrow its democratically elected government. That mission was opposed by the rest of the free world including the United States.",https://ground.news/interest/daily-kos
Black America Web,Left,Man Charged With Federal Assault For Spraying Rep. Ilhan Omar With Apple Cider Vinegar,55-year-old Anthony Kazmierczak has been charged with a federal assault count for spraying Rep. Ilhan Omar with apple cider vinegar during a Minneapolis town hall on Tuesday.,https://ground.news/interest/black-america-web
Diario Correo,Left,"","",https://ground.news/interest/diario-correo
Florida Phoenix,Left,Florida House votes to rename Palm Beach airport after Donald Trump,"President Donald Trump gives a speech at the World Economic Forum (WEF) in Davos, Switzerland, on Jan. 21, 2026. (Photo by Chip Somodevilla/Getty Images)An intense and at times vitriolic debate erupted on the floor of the Florida House of Representatives Tuesday over a bill (HB 919) that could result in a more than $5 million tab to rename Palm Beach County International Airport after President Donald J. Trump. The measure ultimately passed easily.",https://ground.news/interest/florida-phoenix
westvirginiawatch.com,Left,U.S. Capitol Police Investigate Increase in Threats Against Members of Congress,"A man squirted an unknown substance on U.S. Rep. Ilhan Omar during a town hall on Jan. 27, 2026.",https://ground.news/interest/westvirginiawatchcom
La Jornada,Left,Ilhan Omar's Congresswoman Under Attack,"A man sprayed federal representative Ilhan Omar with an unknown substance during a public assembly in Minneapolis yesterday. Despite the incident, Omar continued with the event.",https://ground.news/interest/la-jornada
Daily Kos,Left,Trump's Lust for Greenland Threatens to Escalate,"During a recent event, President Donald Trump reiterated his desire to purchase Greenland, a move that has sparked concerns among experts and environmentalists.",https://ground.news/interest/daily-kos
westvirginiawatch.com,Left,"Trump Threatens Tariffs on Greenland, Countries That Oppose US Takeover","President Donald Trump threatened to impose tariffs on Greenland and countries that oppose his plans to take over the Arctic island, as members of Congress from both parties were in Europe to reassure allied nations that they won't support his efforts.",https://ground.news/interest/westvirginiawatchcom
News One,Left,"Pam Bondi Slings Insults, Throws Tantrums During House Judiciary Hearing","Bondi's testimony was marked by frustration and anger, with her responding to questions about the Department of Justice with a confrontational attitude.",https://ground.news/interest/news-one
elDiarioAR,Left,"Tragedy in Switzerland: Fire in Crans-Montana Bar Kills Dozens, Injures Hundreds","A fire broke out in a bar in Crans-Montana, a popular ski resort in Switzerland, during a New Year's celebration. The cause of the fire is still under investigation, but it is believed to be linked to the use of pyrotechnics. The fire resulted in the deaths of dozens of people and injuries to hundreds of others. The investigation into the identity of the deceased is ongoing.",https://ground.news/interest/eldiarioarcom
Raw Story,Left,Trump lavishes praise on Tim Walz as immigration crisis escalates in Minnesota,"Amid the ongoing federal immigration crisis in Minnesota, President Donald Trump praised Governor Tim Walz in a phone call, praising the governor just days after accusing him of ""inciting insurrection.""",https://ground.news/interest/raw-story
Mississippi Free Press,Left,Bondi Clashes With Democrats As She Struggles to Turn the Page on Epstein Files Furor,Attorney General Pam Bondi launched into a passionate defense of President Donald Trump Wednesday as she tried to turn the page from relentless criticism of the Justice Department's handling of the Jeffrey Epstein files.,https://ground.news/interest/mississippi-free-press
Raw Story,Left,Attorney General Pam Bondi to testify on DOJ's alleged attempts to intimidate Epstein survivors,"Attorney General Pam Bondi is set to testify before the House Judiciary Committee on Wednesday about the Department of Justice's alleged attempts to intimidate survivors of Jeffrey Epstein, a former financier and convicted child sex offender.",https://ground.news/interest/raw-story
Democracy Now!,Left,Rep. Ilhan Omar Attacked by Man at Minneapolis Town Hall After She Called for Noem’s Impeachment,"Minnesota Congressmember Ilhan Omar was sprayed with an unknown liquid during a town hall event in Minneapolis on Tuesday. The attack comes just days after Florida Congressmember Maxwell Frost was punched by a Trump supporter at the Sundance Film Festival. Omar, a frequent target of President Donald Trump and his supporters, has long faced harassment and intimidation.",https://ground.news/interest/democracy-now
Aftonbladet,Left,New Epstein Files Released by US Department of Justice,"Over three and a half million new Epstein files are being released today by the US Department of Justice, with a significant portion containing pornographic content.",https://ground.news/interest/aftonbladet
World Socialist Web Site,Left,Was Alex Pretti the subject of a targeted assassination?,Emerging evidence strongly indicates that the murder of Pretti was a targeted assassination carried out by the Trump administration’s paramilitary forces in order to terrorize Minneapolis citizens opposing and recording its criminal activities.,https://ground.news/interest/world-socialist-web-site
The Cut,Left,Mark Anderson Arrested for Attempting to Impersonate FBI Agent to Free Luigi Mangione,Mark Anderson was arrested on Wednesday for attempting to impersonate an FBI agent in an effort to free Luigi Mangione from prison.,https://ground.news/interest/the-cut
Common Dreams,Left,"'Disgusting Act of Corruption': Trump Sues IRS, Treasury for $10 Billion Over Tax Return Leak","""Trump is using taxpayer privacy laws to hide his shady business dealings, while his Treasury Department is violating those same laws to send sensitive tax information to his anti-immigrant allies at ICE.""",https://ground.news/interest/common-dreams
Raw Story,Left,"Minnesota Man Arrested for Entering Federal Prison as Fake FBI Agent, Posing with Pizza Cutter","Mark Anderson, a 27-year-old man from Mankato, Minnesota, has been arrested for impersonating an FBI agent and using a pizza cutter to break out of a federal lockup. Anderson faces federal charges for his actions, which were allegedly intended to free Luigi Mangione, a 27-year-old man accused of murdering a police officer.",https://ground.news/interest/raw-story
Xinhua,Left,Finland Detains Vessel over Suspected Undersea Cable Damage,Finland detains vessel over suspected undersea cable damage 2 months ago · China,https://ground.news/interest/newscn
The London Economic,Left,"Trump's 'Nobel Peace Prize' gaffe: Trump gives Machado the prize he won, not the one he was supposed to give her","María Corina Machado, a Venezuelan opposition leader, was invited to the White House on Friday to meet Donald Trump. She presented him with the Nobel Peace Prize she won last year, not the one he was supposed to give her.",https://ground.news/interest/the-london-economic
Raw Story,Left,Senate Republicans face civil war over filibuster: 'We'd be schmucks to sit here!',"Senate Republicans are increasingly at each other's throats over whether to change the filibuster rule to ram through bill that would mandate new voting restrictions nationwide and require proof of citizenship to register to vote. A loud contingent of the party is increasingly convinced that Republicans would be ""schmucks"" to sit there.",https://ground.news/interest/raw-story
World Socialist Web Site,Left,Major financial oligarchs helped Kevin Warsh secure Trump’s nomination for Fed chair,Trump’s decision is the outcome of a balancing act which itself underscores the inherent instability of the US financial system.,https://ground.news/interest/world-socialist-web-site
Talking Points Memo,Left,"With Blood on His Hands, Trump Is Eager To Invoke Insurrection Act",Minneapolis is shaping up to be the catalyzing moment that President Trump uses to justify doing what he’s wanted to do since his first term: invoke the Insurrection Act.,https://ground.news/interest/talking-points-memo
Crooks and Liars,Left,Democrat Rips Bondi A New One For Lying 'Under Oath',"Democratic Rep. Ted Lieu played the infamous clip of notorious sex-trafficker Jeffrey Epstein and Donald Trump hanging out at a party together for Attorney General Pam Bondi, who was extremely combative in front of the House Judiciary Committee. Somehow, Bondi insisted that ""there is no evidence that Donald Trump has committed a crime."" She's talking about the same president whose name in the unredacted Epstein files came up ""more than a million"" times.",https://ground.news/interest/crooksandliarscom
Raw Story,Left,Melania Trump's 'Melania' Flops at UK Premiere with Single-Digit Ticket Sales,"Melania Trump's eponymous documentary flopped in its London debut. UK cinema chain Vue's will premier ""Melania"" at 3:10 p.m. at its flagship Islington theater in London, but so far only one person has bought a ticket and just two tickets have sold for a 6 p.m. showing – undercutting President Donald Trump's presidency.",https://ground.news/interest/raw-story
teleSUR,Left,Mexico Demands Clarification on Death of Mexican Citizen in U.S. Custody,The Mexican government reiterates its commitment to providing consular assistance and protection to the community of this nation on United States territory.,https://ground.news/interest/telesurtvnet
HuffPost,Left,Senate Approves Government Funding Amid ICE Reform Talks,Democrats agreed to fund the Department of Homeland Security for two weeks while talks continue on reforming ICE amid protests in Minneapolis.,https://ground.news/interest/huffpost
HuffPost,Left,"Megyn Kelly: 'He Was There With a Loaded Gun Looking to Cause Trouble for the Border Patrol Agents, and That Trouble Came Back on Him'","",https://ground.news/interest/huffpost
Boing Boing,Left,"NYT Uncovers Over 38,000 Trump References in Epstein Documents","The New York Times used a proprietary search tool to find more than 5,300 files containing over 38,000 references to Trump, his wife, Mar-a-Lago, and related terms in the Epstein documents released Friday. The files include unverified tips submitted to the FBI — some accusing Trump and Epstein of sexual abuse — as well as interview notes where victims describe interactions with Trump.",https://ground.news/interest/boing-boing
The Daily Beast,Left,Trump’s DOJ: New Epstein Files Cover-Up Completed,Deputy Attorney General Rod Rosenstein announced the DOJ has completed its review of the Epstein files.,https://ground.news/interest/the-daily-beast
News One,Left,Federal Agents Who Killed Alex Pretti Placed On Leave,U.S. Customs and Border Protection spokesperson confirms two federal agents placed on administrative leave following the fatal shooting of 37-year-old Alex Pretti in Minnesota.,https://ground.news/interest/news-one
Vox,Left,Can Trump send soldiers to Minneapolis?,"The Insurrection Act, explained.",https://ground.news/interest/vox
The New Republic,Left,Trump’s Lawsuit Against the IRS Is Even Crazier Than You Think,Donald Trump is suing over things that happened during his first term.,https://ground.news/interest/the-new-republic
The London Economic,Left,Melania documentary sees single-figure ticket sales across UK cinemas,"Tickets sales for Melania, the upcoming documentary about the first lady of the United States, look set to be shockingly bad at UK cinemas.",https://ground.news/interest/the-london-economic
heimildin.is,Left,Trump Demands $10 Billion in Us Tax Cuts,"President Donald Trump has filed a lawsuit against the Internal Revenue Service (IRS) seeking $10 billion, equivalent to 1.240 billion krónur, over alleged leaks of tax returns that he says have harmed his business. The lawsuit – filed by the president on his own behalf, along with his two eldest sons, Eric and Donald Jr., and their family business, The Trump Organization – said the tax...",https://ground.news/interest/heimildinis
Meduza,Left,Faux FBI Agent Attempts to Free Prisoner Accused of Murder,"On January 27, a man posing as an FBI agent attempted to release Luigi Manjone, who is accused of murdering Brian Thompson, CEO of UnitedHealthcare.",https://ground.news/interest/meduza
heimildin.is,Left,Trump Demands $10 Billion in Us Tax Cuts,"President Donald Trump has filed a lawsuit against the Internal Revenue Service (IRS) seeking $10 billion, equivalent to 1.240 billion krónur, over alleged leaks of tax returns that he says have harmed his business. The lawsuit – filed by the president on his own behalf, along with his two eldest sons, Eric and Donald Jr., and their family business, The Trump Organization – said the tax...",https://ground.news/interest/heimildinis
littlegreenfootballs.com,Left,Colbert: ICE Outrage Goes Viral | White House Blame Game | Ilhan Omar: Tough Under Pressure | Poo-tomac River,"Americans are expressing their anger about ICE in some unlikely corners of the internet, Kristi Noem and Stephen Miller are pointing fingers at each other as the administration does damage control over Alex Pretti's murder, Rep. Ilhan Omar bravely faces tough questions from the press, and the Poo-tomac River is the unlikely topic of a viral video.",https://ground.news/interest/littlegreenfootballscom
Jezebel,Left,ICE Agent Accused of Killing Migrant in Detention,"A 55-year-old convicted felon from Cuba, Geraldo Lunas Campos, died in Texas on Jan. 3 after being held in ICE detention. The agency has accused an ICE agent of causing his death, and the death will likely be ruled a homicide.",https://ground.news/interest/jezebel
Daily Kos,Left,The Nightmare Scenario Democrats Warned About Is Here,The doomsday scenario Democrats warned about has arrived. President Trump threatened to invoke the Insurrection Act to sic the military on protesters.,https://ground.news/interest/daily-kos
teleSUR,Left,At Least 10 People Die From Winter Storm in the u.s.,"A large winter storm continues to affect much of the United States, with an increasing number of victims currently counting ten fatalities and one million users at the moment, they are in the dark.",https://ground.news/interest/telesurtvnet
Salon,Left,Trump and sons seek $10 billion taxpayer-funded payday in IRS lawsuit,"President Donald Trump sued the IRS and the Treasury Department on Thursday, alleging they failed to ""safeguard"" his and his family's tax returns from being leaked to the press. Trump, along with his sons, Eric and Don Jr., and the Trump Organization, are seeking $10 billion in damages, according to a lawsuit filed in Florida's Southern District Court. The lawsuit alleges that the IRS and Treasury Department ""had a duty to...protect"" the Trumps' ""tax returns.""",https://ground.news/interest/salon
Afro,Left,"Black lawmakers, leaders nationwide decry attack on Minnesota Congresswoman Ilhan Omar","The attack on Rep. Ilhan Omar has drawn swift condemnation from Black lawmakers and civic leaders nationwide, who warned that political violence—especially against Black women in public service—poses a direct threat to democratic participation. Leaders emphasized that intimidation and assault have no place in civic spaces and urged accountability amid rising rhetoric that targets women of color, immigrants and Muslim communities.",https://ground.news/interest/afro
HuffPost,Left,Democrats Push for Impeachment of Kristi Noem,"House Democrats are escalating their impeachment push against South Dakota Governor Kristi Noem, stating they will build a case for her eventual impeachment if she doesn't cooperate. They need Republican support for this move.",https://ground.news/interest/huffpost
Caraota Digital,Left,"Powerful Winter Storm 'Fern' Leaves More than 500,000 Without Electricity","The powerful winter storm 'Fern' has already left more than 500,000 people without electricity, while authorities expect the cancellation of over 9,600 flights this Sunday. Meteorologists warn that snow, snow showers, and dangerously cold temperatures will hit the eastern two-thirds of the country throughout the week.",https://ground.news/interest/caraota-digital
Aftonbladet,Left,Machado Has Given Trump His Peace Prize Medal,Last year she was awarded the Nobel Peace Prize. Now the Venezuelan opposition leader has given her medal – to Donald Trump.,https://ground.news/interest/aftonbladet
thecradle.co,Left,Trump Threatens Tariffs on Nations That Oppose US Annexation of Greenland,"A bipartisan delegation of US lawmakers arrived in Copenhagen Friday for talks over the fate of the Danish territory, 1 month ago.",https://ground.news/interest/thecradleco
Out Magazine,Left,Man uses pizza cutter and dream to break Luigi Mangione from prison,"A man disguised as an FBI agent and armed with a pizza cutter and a barbecue fork, attempts to break Luigi Mangione from prison in a daring attempt to free him.",https://ground.news/interest/out-magazine-gay-and-lesbian-travel-fashion-culture-and-politics
Meduza,Left,CIA Director: Ukraine Did Not Attempt to Attack Putin's Residence,The U.S. Central Intelligence Agency (CIA) reported on December 31 that Ukraine did not attempt to attack the residence of Russian President Vladimir Putin on Valdai in Novgorod province. This information was shared with The Wall Street Journal by sources.,https://ground.news/interest/meduza
westvirginiawatch.com,Left,Trump Threatens to Use Insurrection Act and Deploy Military in Minnesota,"Following a shooting incident on January 14, 2026 in Minneapolis, Minnesota, President Donald Trump threatened to send the military into the state to stop protests, following a fatal shooting by immigration agents.",https://ground.news/interest/westvirginiawatchcom
oklahomavoice.com,Left,"Republicans Celebrate School Choice in U.S. Senate Hearing, While Dems Question Fairness • Oklahoma Voice","During a U.S. Senate hearing, Republicans and President Trump’s administration emphasized the importance of school choice, while Democrats questioned its fairness.",https://ground.news/interest/oklahomavoicecom
CartaCapital,Left,u.s. Justice Temporarily Blocked the Expulsion of a Child Under 5 Years of Age Held by the Ice,"The case became a symbol of the indignation of Minnesota's protesters, who denounced the methods of immigration police as brutal.",https://ground.news/interest/cartacapitalcombr
