headline,summary,bias,predicted_bias
Usa - Department of Justice Publishes Further Epstein Documents,The U.S. Department of Justice has released further investigative files on the case of sex offender Jeffrey Epstein.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Usa - Department of Justice Publishes Further Epstein Documents
            ARTICLE SUMMARY: The U.S. Department of Justice has released further investigative files on the case of sex offender Jeffrey Epstein.

            Output ONLY the numeric bias score.
          
assistant0.0"
"Donald Trump: ""Time Is Running Out"" - Us President Appalled with Martial Iran Threat","Donald Trump is messing with Iran. In an angry social media post, the US president threatens the Mullahs with a massive military strike if the country continues to advance its nuclear program. ""The next attack will be much worse,"" Trump says.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Donald Trump: ""Time Is Running Out"" - Us President Appalled with Martial Iran Threat
            ARTICLE SUMMARY: Donald Trump is messing with Iran. In an angry social media post, the US president threatens the Mullahs with a massive military strike if the country continues to advance its nuclear program. ""The next attack will be much worse,"" Trump says.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Trump threatens UK with 10% tariff 'on all goods' until Greenland handed over,This is a breaking news story and is being constantly updated by our reporters as the breaking news story develops 1 month ago · United Kingdom,Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump threatens UK with 10% tariff 'on all goods' until Greenland handed over
            ARTICLE SUMMARY: This is a breaking news story and is being constantly updated by our reporters as the breaking news story develops 1 month ago · United Kingdom

            Output ONLY the numeric bias score.
          
assistant0.0"
"Three killed, including suspect, in shooting at Rhode Island hockey rink","The shooting happened at Dennis M Lynch Arena in Pawtucket, a few miles outside Providence.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Three killed, including suspect, in shooting at Rhode Island hockey rink
            ARTICLE SUMMARY: The shooting happened at Dennis M Lynch Arena in Pawtucket, a few miles outside Providence.

            Output ONLY the numeric bias score.
          
assistant-1.0"
"A memecoin related to Moltbook surged more than 7,000% as things get weird for AI bots' social network","Moltbook’s viral posts and strange user behavior memecoins, including MOLT soaring more than 7,000%.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: A memecoin related to Moltbook surged more than 7,000% as things get weird for AI bots' social network
            ARTICLE SUMMARY: Moltbook’s viral posts and strange user behavior memecoins, including MOLT soaring more than 7,000%.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Justice Department Releases Millions More Epstein Files,"Deputy Attorney General Todd Blanche announced Friday that three million additional files tied to the late convicted sex offender Jeffrey Epstein are being released as part of the “Epstein Files Transparency Act.”The total number of files released now stands at 3.5 million. Blanche said officials erred on the side of “over collection,” with the release including more than 2,000 videos and 180,000 photos.Blanche noted that many of the images and …",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Justice Department Releases Millions More Epstein Files
            ARTICLE SUMMARY: Deputy Attorney General Todd Blanche announced Friday that three million additional files tied to the late convicted sex offender Jeffrey Epstein are being released as part of the “Epstein Files Transparency Act.”The total number of files released now stands at 3.5 million. Blanche said officials erred on the side of “over collection,” with the release including more than 2,000 videos and 180,000 photos.Blanche noted that many of the images and …

            Output ONLY the numeric bias score.
          
assistant+2.0"
There Was a 30 Million Euro Theft in a Northwest Bank in Germany,2 months ago · Italy,Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: There Was a 30 Million Euro Theft in a Northwest Bank in Germany
            ARTICLE SUMMARY: 2 months ago · Italy

            Output ONLY the numeric bias score.
          
assistant-1.0"
"More than 100 Trapped at 2,800 Meters in the Alps After the Accident of a Cable Car","A hundred people have been trapped this Tuesday at the top of Mount Moro, at 2,800 meters of altitude in the Italian Alps, due to an incident in the cable car that connects the town of Macugnaga (north) with the ski track.The accident occurred at 11.25 hours (10.25 GMT) when a cabin did not stop at the planned point and crashed into the barrier of the arrival station, causing minor injuries to 6 people, who were already evacuated by the rescue s… 2 months ago · Spain",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: More than 100 Trapped at 2,800 Meters in the Alps After the Accident of a Cable Car
            ARTICLE SUMMARY: A hundred people have been trapped this Tuesday at the top of Mount Moro, at 2,800 meters of altitude in the Italian Alps, due to an incident in the cable car that connects the town of Macugnaga (north) with the ski track.The accident occurred at 11.25 hours (10.25 GMT) when a cabin did not stop at the planned point and crashed into the barrier of the arrival station, causing minor injuries to 6 people, who were already evacuated by the rescue s… 2 months ago · Spain

            Output ONLY the numeric bias score.
          
assistant0.0"
Why President Trump Is Suing The IRS And Treasury For $10 Billion,"President Donald Trump has filed a $10 billion lawsuit against the Internal Revenue Service and the U.S. Treasury Department, accusing the agencies of failing to protect his confidential tax records. The suit was filed Thursday in federal court in Miami. Trump alleges that an IRS contractor unlawfully leaked his tax returns, along with those of his sons and the Trump Organization, to media outlets in 2020. His sons Eric and Don Jr., along with t…",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Why President Trump Is Suing The IRS And Treasury For $10 Billion
            ARTICLE SUMMARY: President Donald Trump has filed a $10 billion lawsuit against the Internal Revenue Service and the U.S. Treasury Department, accusing the agencies of failing to protect his confidential tax records. The suit was filed Thursday in federal court in Miami. Trump alleges that an IRS contractor unlawfully leaked his tax returns, along with those of his sons and the Trump Organization, to media outlets in 2020. His sons Eric and Don Jr., along with t…

            Output ONLY the numeric bias score.
          
assistant+2.0"
DOJ files federal charges against Ilhan Omar suspected attacker,"The Department of Justice has filed a federal criminal complaint against Anthony James Kazmierczak, the man accused of spraying Rep. Ilhan Omar (D-MN) with apple cider vinegar at a Minneapolis town hall event. An FBI special agent filed the complaint and accompanying affidavit in the U.S. District Court for the District of Minnesota on Wednesday. Kazmierczak is accused of forcibly assaulting, opposing, impeding, intimidating, and interfering wit…",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: DOJ files federal charges against Ilhan Omar suspected attacker
            ARTICLE SUMMARY: The Department of Justice has filed a federal criminal complaint against Anthony James Kazmierczak, the man accused of spraying Rep. Ilhan Omar (D-MN) with apple cider vinegar at a Minneapolis town hall event. An FBI special agent filed the complaint and accompanying affidavit in the U.S. District Court for the District of Minnesota on Wednesday. Kazmierczak is accused of forcibly assaulting, opposing, impeding, intimidating, and interfering wit…

            Output ONLY the numeric bias score.
          
assistant0.0"
Justice Department releasing 3 million pages from its Jeffrey Epstein files,"The Justice Department says it's releasing 3 million pages of documents in the latest Jeffrey Epstein disclosure, along with 2,000 videos and 180,000 images.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Justice Department releasing 3 million pages from its Jeffrey Epstein files
            ARTICLE SUMMARY: The Justice Department says it's releasing 3 million pages of documents in the latest Jeffrey Epstein disclosure, along with 2,000 videos and 180,000 images.

            Output ONLY the numeric bias score.
          
assistant0.0"
Minnesota man arrested after reportedly trying to get Luigi Mangione out of jail in New York,"A Minnesota man has been arrested after he reportedly tried to break Luigi Mangione out of jail in Brooklyn, New York Thursday.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Minnesota man arrested after reportedly trying to get Luigi Mangione out of jail in New York
            ARTICLE SUMMARY: A Minnesota man has been arrested after he reportedly tried to break Luigi Mangione out of jail in Brooklyn, New York Thursday.

            Output ONLY the numeric bias score.
          
assistant0.0"
Why Trump Is Suing the IRS and Treasury for $10 Billion,"President Donald Trump, alongside the Trump Organization, and his sons Eric and Donald Jr., is suing the IRS and the Treasury Department for $10 billion. In a lawsuit filed in a Miami federal court Thursday, Trump and the other plaintiffs accused the federal agencies of failing in their duty of stopping former Internal Revenue Service contractor Charles Littlejohn—who worked for Booz Allen Hamilton, a consulting company—from illegally obtaining …",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Why Trump Is Suing the IRS and Treasury for $10 Billion
            ARTICLE SUMMARY: President Donald Trump, alongside the Trump Organization, and his sons Eric and Donald Jr., is suing the IRS and the Treasury Department for $10 billion. In a lawsuit filed in a Miami federal court Thursday, Trump and the other plaintiffs accused the federal agencies of failing in their duty of stopping former Internal Revenue Service contractor Charles Littlejohn—who worked for Booz Allen Hamilton, a consulting company—from illegally obtaining …

            Output ONLY the numeric bias score.
          
assistant-1.0"
US winter storm: One million without power as cold grips states; flights cancelled and deaths reported,"A massive US winter storm has knocked out power to over a million, halted flights and caused deaths as extreme cold grips multiple states.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: US winter storm: One million without power as cold grips states; flights cancelled and deaths reported
            ARTICLE SUMMARY: A massive US winter storm has knocked out power to over a million, halted flights and caused deaths as extreme cold grips multiple states.

            Output ONLY the numeric bias score.
          
assistant-1.0"
The Department of Justice Publishes More than 3 Million Pages of Epstein Documents,"A month and a half after the date provided for by law, the U.S. Department of Justice has today published a new batch of documents related to pederast and pimp Jeffrey Epstein. Deputy Attorney General Todd Blanche reported in a press conference that more than 3.5 million pages, 2,000 videos and 180,000 images have been released this Friday, and announced that this will be the last shipment.Continue reading...",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: The Department of Justice Publishes More than 3 Million Pages of Epstein Documents
            ARTICLE SUMMARY: A month and a half after the date provided for by law, the U.S. Department of Justice has today published a new batch of documents related to pederast and pimp Jeffrey Epstein. Deputy Attorney General Todd Blanche reported in a press conference that more than 3.5 million pages, 2,000 videos and 180,000 images have been released this Friday, and announced that this will be the last shipment.Continue reading...

            Output ONLY the numeric bias score.
          
assistant-1.0"
"Trump taps Kevin Warsh to lead the Federal Reserve, setting up a high-stakes confirmation fight","Donald Trump said on Friday he will nominate Kevin Warsh, a former Federal Reserve governor, to become the next chair of the U.S. central bank, replacing Jerome Powell when Powell’s term as chair expires in May. The announcement, delivered via Truth Social, follows months of speculation over who would inherit the world’s most consequential monetary-policy job.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump taps Kevin Warsh to lead the Federal Reserve, setting up a high-stakes confirmation fight
            ARTICLE SUMMARY: Donald Trump said on Friday he will nominate Kevin Warsh, a former Federal Reserve governor, to become the next chair of the U.S. central bank, replacing Jerome Powell when Powell’s term as chair expires in May. The announcement, delivered via Truth Social, follows months of speculation over who would inherit the world’s most consequential monetary-policy job.

            Output ONLY the numeric bias score.
          
assistant-1.0"
FBI Impersonator Tries To Break Luigi Mangione Out Of NYC Jail,"A man allegedly pretending to be an FBI agent is in custody in New York after allegedly trying to break accused killer Luigi Mangione out of jail.  Federal prosecutors say Mark Anderson, a Minnesota man, showed up at the Metropolitan Detention Center in Brooklyn Wednesday afternoon claiming to be an FBI agent.  He said he had a signed court order to free Mangione who’s charged with assassinating United HealthCare CEO Brian Thompson in December 2…",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: FBI Impersonator Tries To Break Luigi Mangione Out Of NYC Jail
            ARTICLE SUMMARY: A man allegedly pretending to be an FBI agent is in custody in New York after allegedly trying to break accused killer Luigi Mangione out of jail.  Federal prosecutors say Mark Anderson, a Minnesota man, showed up at the Metropolitan Detention Center in Brooklyn Wednesday afternoon claiming to be an FBI agent.  He said he had a signed court order to free Mangione who’s charged with assassinating United HealthCare CEO Brian Thompson in December 2…

            Output ONLY the numeric bias score.
          
assistant+2.0"
Trump threatens to use Insurrection Act to stop attacks against ICE,"President Donald Trump warned on Thursday that he would use the Insurrection Act to stop the “professional agitators and insurrectionists” attacking and disrupting U.S. Immigration and Customs Enforcement (ICE) officials in Minnesota if state and local lawmakers do not put an end to the violent riots and attacks against federal law enforcement officials. In a Thursday statement on Truth Social, Trump wrote, “If the corrupt politicians of Minneso… 1 month ago · United States",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Trump threatens to use Insurrection Act to stop attacks against ICE
            ARTICLE SUMMARY: President Donald Trump warned on Thursday that he would use the Insurrection Act to stop the “professional agitators and insurrectionists” attacking and disrupting U.S. Immigration and Customs Enforcement (ICE) officials in Minnesota if state and local lawmakers do not put an end to the violent riots and attacks against federal law enforcement officials. In a Thursday statement on Truth Social, Trump wrote, “If the corrupt politicians of Minneso… 1 month ago · United States

            Output ONLY the numeric bias score.
          
assistant+2.0"
"Swiss hospital chief says bar fire victims suffered burns, fractures and suffocation in scramble for survival","SION (Switzerland), Jan 3 — The head of the hospital which received casualties from the horrific Swiss ski resort bar blaze told AFP yesterday there were not only burns but injuries such as fractures as people ran for their lives.Eric Bonvin, managing director of hospitals in southwest Switzerland’s Wallis canton, said that judging from the casualties, it was likely that people were crushed and suffocated in the panic, while some were injured de… 2 months ago · Selangor, Malaysia",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Swiss hospital chief says bar fire victims suffered burns, fractures and suffocation in scramble for survival
            ARTICLE SUMMARY: SION (Switzerland), Jan 3 — The head of the hospital which received casualties from the horrific Swiss ski resort bar blaze told AFP yesterday there were not only burns but injuries such as fractures as people ran for their lives.Eric Bonvin, managing director of hospitals in southwest Switzerland’s Wallis canton, said that judging from the casualties, it was likely that people were crushed and suffocated in the panic, while some were injured de… 2 months ago · Selangor, Malaysia

            Output ONLY the numeric bias score.
          
assistant+2.0"
Ilhan Omar sprayed with unknown liquid at town hall,"WORLD is a news organization producing Biblically sound, daily coverage of global, national, and cultural current events.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Ilhan Omar sprayed with unknown liquid at town hall
            ARTICLE SUMMARY: WORLD is a news organization producing Biblically sound, daily coverage of global, national, and cultural current events.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Several dozen killed after deadly fire at Swiss ski resort,"The cause of the devastating blaze at Le Constellation bar hasn’t been established. 2 months ago · London, United Kingdom",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Several dozen killed after deadly fire at Swiss ski resort
            ARTICLE SUMMARY: The cause of the devastating blaze at Le Constellation bar hasn’t been established. 2 months ago · London, United Kingdom

            Output ONLY the numeric bias score.
          
assistant0.0"
"DOJ releases millions of Epstein records, many lacking context or corroboration","The Justice Department on Friday said it released more than 3 million additional pages of records related to convicted sex offender Jeffrey Epstein.The DOJ says the newly published materials include more than 2,000 videos and about 180,000 images.The records were collected from five primary sources, according to the DOJ: The federal criminal cases against Epstein in Florida and New York, the New York prosecution of Ghislaine Maxwell, investigati…",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: DOJ releases millions of Epstein records, many lacking context or corroboration
            ARTICLE SUMMARY: The Justice Department on Friday said it released more than 3 million additional pages of records related to convicted sex offender Jeffrey Epstein.The DOJ says the newly published materials include more than 2,000 videos and about 180,000 images.The records were collected from five primary sources, according to the DOJ: The federal criminal cases against Epstein in Florida and New York, the New York prosecution of Ghislaine Maxwell, investigati…

            Output ONLY the numeric bias score.
          
assistant-1.0"
Did Senate Majority Leader Thune just kill the SAVE Act?,"by WorldTribune Staff, February 10, 2026 Real World News Senate Majority Leader John Thune on Tuesday rebuffed an effort by President Donald Trump and his GOP allies to amend the Senate filibuster rule to speed passing of the SAVE America Act, which would require ID and American citizenship to vote. The legislation is slated for […]",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Did Senate Majority Leader Thune just kill the SAVE Act?
            ARTICLE SUMMARY: by WorldTribune Staff, February 10, 2026 Real World News Senate Majority Leader John Thune on Tuesday rebuffed an effort by President Donald Trump and his GOP allies to amend the Senate filibuster rule to speed passing of the SAVE America Act, which would require ID and American citizenship to vote. The legislation is slated for […]

            Output ONLY the numeric bias score.
          
assistant+3.0"
Plane Carrying Eight People Crashes in Maine Amid Massive Snowstorm,"A private plane carrying eight people crashed during takeoff in the US state of Maine in the midst of a heavy snowstorm. Their fate is unknown. A large fire broke out at the scene and all traffic at the airport was suspended, The Independent reported.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Plane Carrying Eight People Crashes in Maine Amid Massive Snowstorm
            ARTICLE SUMMARY: A private plane carrying eight people crashed during takeoff in the US state of Maine in the midst of a heavy snowstorm. Their fate is unknown. A large fire broke out at the scene and all traffic at the airport was suspended, The Independent reported.

            Output ONLY the numeric bias score.
          
assistant0.0"
Directly/cia Did Not Find Indications that Ukraine Has Tried to Reach the Residence of the Russian President.,"The CIA communicated to Trump that Ukraine did not try to reach Putin's residence, but it would have something else to do with the North American press. Russia had declared an attempt to attack drones. 2 months ago · Portugal",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Directly/cia Did Not Find Indications that Ukraine Has Tried to Reach the Residence of the Russian President.
            ARTICLE SUMMARY: The CIA communicated to Trump that Ukraine did not try to reach Putin's residence, but it would have something else to do with the North American press. Russia had declared an attempt to attack drones. 2 months ago · Portugal

            Output ONLY the numeric bias score.
          
assistant-1.0"
Leaves Winter Storm to a Million Homes without Light in the United States,"Winter storm hitting the U.S. has left a million homes without light; Tennessee, Louisiana and Mississippi are the most affected states.",Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Leaves Winter Storm to a Million Homes without Light in the United States
            ARTICLE SUMMARY: Winter storm hitting the U.S. has left a million homes without light; Tennessee, Louisiana and Mississippi are the most affected states.

            Output ONLY the numeric bias score.
          
assistant0.0"
DSR Daily January 29: Trump Weighs Striking Iran - The DSR Network,"On the DSR Daily for Thursday, we cover President Trump considering military strikes on Iran, Democrats threatening to block DHS funding, an attack on Rep. Ilhan Omar, and more.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: DSR Daily January 29: Trump Weighs Striking Iran - The DSR Network
            ARTICLE SUMMARY: On the DSR Daily for Thursday, we cover President Trump considering military strikes on Iran, Democrats threatening to block DHS funding, an attack on Rep. Ilhan Omar, and more.

            Output ONLY the numeric bias score.
          
assistant+2.0"
USA Rare Earth Surges 13% After Trump Administration Invests $1.6 Billion,The Trump administration has acquired equity in several miners to cut dependence on China.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: USA Rare Earth Surges 13% After Trump Administration Invests $1.6 Billion
            ARTICLE SUMMARY: The Trump administration has acquired equity in several miners to cut dependence on China.

            Output ONLY the numeric bias score.
          
assistant+2.0"
Mega-Pretty at Burglary in Gelsenkirchener Sparkasse,"This is probably one of the biggest coups in the German criminal history: money, gold and jewellery worth millions of euros are gone. 2 months ago · Bonn, Germany",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Mega-Pretty at Burglary in Gelsenkirchener Sparkasse
            ARTICLE SUMMARY: This is probably one of the biggest coups in the German criminal history: money, gold and jewellery worth millions of euros are gone. 2 months ago · Bonn, Germany

            Output ONLY the numeric bias score.
          
assistant-1.0"
'Major shift in strategy' as Trump pulls 'key player' out of Minneapolis,"U.S. Border Patrol commander Greg Bovino is now reportedly leaving Minneapolis, Minnesota along with several other Border Patrol officials, according to a new report.CNN's Priscilla Alvarez reported Monday that Bovino and an unnamed number of Border Patrol agents will be called back to their original offices before they were deployed as part of Operation Metro Surge in Minneapolis. Alvarez called it ""a major shift in strategy"" by President Donal…",Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: 'Major shift in strategy' as Trump pulls 'key player' out of Minneapolis
            ARTICLE SUMMARY: U.S. Border Patrol commander Greg Bovino is now reportedly leaving Minneapolis, Minnesota along with several other Border Patrol officials, according to a new report.CNN's Priscilla Alvarez reported Monday that Bovino and an unnamed number of Border Patrol agents will be called back to their original offices before they were deployed as part of Operation Metro Surge in Minneapolis. Alvarez called it ""a major shift in strategy"" by President Donal…

            Output ONLY the numeric bias score.
          
assistant+2.0"
Tracking snow totals across the Philadelphia region for Jan. 25 snowstorm,"Snow is falling across the Philadelphia region, and it is already starting to pile up.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Tracking snow totals across the Philadelphia region for Jan. 25 snowstorm
            ARTICLE SUMMARY: Snow is falling across the Philadelphia region, and it is already starting to pile up.

            Output ONLY the numeric bias score.
          
assistant0.0"
Judge Strikes Back: ICE Chief to Face Contempt Hearing,Read more about Judge Strikes Back: ICE Chief to Face Contempt Hearing on Devdiscourse.,Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Judge Strikes Back: ICE Chief to Face Contempt Hearing
            ARTICLE SUMMARY: Read more about Judge Strikes Back: ICE Chief to Face Contempt Hearing on Devdiscourse.

            Output ONLY the numeric bias score.
          
assistant+2.0"
"""I Will Finish My Speech: u.s. Democrat Attacked in Minneapolis with Unknown Substance","While Ilhan Omar calls for the resignation of Homeland Security Minister Noem, she attacks a man. The Democrat continues her speech in Minneapolis afterwards.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: ""I Will Finish My Speech: u.s. Democrat Attacked in Minneapolis with Unknown Substance
            ARTICLE SUMMARY: While Ilhan Omar calls for the resignation of Homeland Security Minister Noem, she attacks a man. The Democrat continues her speech in Minneapolis afterwards.

            Output ONLY the numeric bias score.
          
assistant0.0"
ICE agents who killed Alex Pretti placed on administrative leave,"The two federal agents who fatally shot Alex Pretti in Minneapolis have been placed on leave, officials said Wednesday. While paid administrative leave is standard for law enforcement officers who shoot someone throughout the country, Border Patrol boss Gregory Bovino previously said the agents who killed Pretti were still on the job, just transferred to a different location. However, Department of Homeland Security Secretary Kristi Noem said We…",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: ICE agents who killed Alex Pretti placed on administrative leave
            ARTICLE SUMMARY: The two federal agents who fatally shot Alex Pretti in Minneapolis have been placed on leave, officials said Wednesday. While paid administrative leave is standard for law enforcement officers who shoot someone throughout the country, Border Patrol boss Gregory Bovino previously said the agents who killed Pretti were still on the job, just transferred to a different location. However, Department of Homeland Security Secretary Kristi Noem said We…

            Output ONLY the numeric bias score.
          
assistant0.0"
A shutdown or accountability? Democrats threaten to block DHS funding over Trump immigration crackdown,"Senate Democrats are threatening to block Homeland Security funding unless new limits are placed on immigration enforcement, raising the risk of a partial US government shutdown.",Center,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: A shutdown or accountability? Democrats threaten to block DHS funding over Trump immigration crackdown
            ARTICLE SUMMARY: Senate Democrats are threatening to block Homeland Security funding unless new limits are placed on immigration enforcement, raising the risk of a partial US government shutdown.

            Output ONLY the numeric bias score.
          
assistant-1.0"
Sexualized Deepfakes: Eu Commission Takes Action Against Elon Musk's Ai Bot Grok,"The EU Commission has opened a case against X because the platform is said to have spread AI-generated child pornography. Thus, the Commission is on a confrontation course with Elon Musk.",Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Sexualized Deepfakes: Eu Commission Takes Action Against Elon Musk's Ai Bot Grok
            ARTICLE SUMMARY: The EU Commission has opened a case against X because the platform is said to have spread AI-generated child pornography. Thus, the Commission is on a confrontation course with Elon Musk.

            Output ONLY the numeric bias score.
          
assistant-1.0"
"MichaelSavage.com – Trump told Palm Beach police chief ‘thank goodness you’re stopping’ Epstein, called Ghislaine Maxwell ‘evil’ in 2006 phone call: FBI document","Donald Trump personally called the police chief of Palm Beach, Fla. in 2006 to thank him for investigating Jeffrey Epstein — and told him to “focus on” the disgraced financier’s “evil” accomplice, Ghislaine Maxwell, according to a newly released FBI document. According to the summary of an October 2019 interview of Michael Reiter, who served…",Far Right,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: MichaelSavage.com – Trump told Palm Beach police chief ‘thank goodness you’re stopping’ Epstein, called Ghislaine Maxwell ‘evil’ in 2006 phone call: FBI document
            ARTICLE SUMMARY: Donald Trump personally called the police chief of Palm Beach, Fla. in 2006 to thank him for investigating Jeffrey Epstein — and told him to “focus on” the disgraced financier’s “evil” accomplice, Ghislaine Maxwell, according to a newly released FBI document. According to the summary of an October 2019 interview of Michael Reiter, who served…

            Output ONLY the numeric bias score.
          
assistant+3.0"
Three Million New Pages From Jeffrey Epstein's Dossier Released,The U.S. Department of Justice on Friday released more than three million new pages from the dossier of sex offender Jeffrey Epstein.,Lean Left,"system
You are participating in a standardized News Bias Classification task for academic
research. Output ONLY a single numeric value between -3.0 and +3.0.

Do NOT provide explanations or text.

user
            HEADLINE: Three Million New Pages From Jeffrey Epstein's Dossier Released
            ARTICLE SUMMARY: The U.S. Department of Justice on Friday released more than three million new pages from the dossier of sex offender Jeffrey Epstein.

            Output ONLY the numeric bias score.
          
assistant0.0"
